iter	Passed	Remaining
849	1366	241
850	1368	239
851	1369	237
852	1371	236
853	1372	234
854	1373	233
855	1375	231
856	1376	229
857	1377	228
858	1380	226
859	1382	224
860	1383	223
861	1385	221
862	1386	220
863	1388	218
864	1389	216
865	1390	215
866	1392	213
867	1393	211
868	1395	210
869	1397	208
870	1398	207
871	1399	205
872	1401	203
873	1402	202
874	1404	200
875	1405	199
876	1407	197
877	1409	195
878	1410	194
879	1412	192
880	1413	190
881	1415	189
882	1416	187
883	1418	186
884	1419	184
885	1420	182
886	1427	181
887	1431	180
888	1432	178
889	1434	177
890	1435	175
891	1437	173
892	1438	172
893	1440	170
894	1442	169
895	1444	167
896	1445	166
897	1447	164
898	1448	162
899	1450	161
900	1451	159
901	1453	157
902	1454	156
903	1458	154
904	1459	153
905	1461	151
906	1462	149
907	1464	148
908	1466	146
909	1468	145
910	1469	143
911	1470	141
912	1473	140
913	1474	138
914	1475	137
915	1477	135
916	1478	133
917	1480	132
918	1481	130
919	1483	128
920	1484	127
921	1486	125
922	1487	124
923	1488	122
924	1490	120
925	1491	119
926	1493	117
927	1494	115
928	1495	114
929	1496	112
930	1498	111
931	1499	109
932	1500	107
933	1502	106
934	1503	104
935	1505	102
936	1506	101
937	1507	99
938	1509	98
939	1510	96
940	1511	94
941	1513	93
942	1515	91
943	1517	89
944	1518	88
945	1519	86
946	1521	85
947	1522	83
948	1524	81
949	1525	80
950	1527	78
951	1529	77
952	1530	75
953	1532	73
954	1533	72
955	1535	70
956	1536	69
957	1537	67
958	1539	65
959	1540	64
960	1543	62
961	1544	61
962	1546	59
963	1547	57
964	1549	56
965	1550	54
966	1551	52
967	1552	51
968	1554	49
969	1555	48
970	1556	46
971	1558	44
972	1560	43
973	1561	41
974	1563	40
975	1564	38
976	1565	36
977	1566	35
978	1567	33
979	1568	32
980	1569	30
981	1570	28
982	1572	27
983	1573	25
984	1574	23
985	1575	22
986	1576	20
987	1577	19
988	1579	17
989	1580	15
990	1581	14
991	1582	12
992	1583	11
993	1584	9
994	1585	7
995	1587	6
996	1588	4
997	1589	3
998	1591	1
999	1592	0
